candidate,first,second,third,IRV order
Betsy Hodges,"28,935","14,399","6,742",Hodges
Mark Andrew,"19,584","12,757","8,977",Andrew
Don Samuels,"8,335","14,170","11,178",Samuels
Cam Winton,"7,511","3,751","3,974",Winton
Jackie Cherryholmes,"3,524","6,470","8,045",Cherryholmes
BOB FINE,"2,094","3,751","4,506",Fine
DAN COHEN,"1,798","2,283","2,072",Cohen
Stephanie Woodruff,"1,010","2,128","2,633",Woodruff
MARK V ANDERSON,975,"1,035",905,Ma Anderson
Doug Mann,779,"1,052","1,105",Mann
OLE SAVIOR,693,795,657,Savior
ALICIA K. BENNETT,351,628,854,Everett
JAMES EVERETT,347,550,806,Bennett
"ABDUL M RAHAMAN ""THE ROCK""",338,363,367,Rahaman
CAPTAIN JACK SPARROW,264,583,"1,440",Sparrow
TONY LANE,219,265,397,Clark
MIKE GOULD,204,368,548,Lane
KURTIS W. HANNA,200,250,418,Kelly
JAYMIE KELLY,196,419,412,Gould
CHRISTOPHER CLARK,188,449,531,Hanna
CHRISTOPHER ROBIN ZIMMERMAN,170,435,422,Zimmerman
JEFFREY ALAN WAGNER,164,292,375,Wagner
TROY BENJEGERDES,148,224,323,Baxter
Neal Baxter,145,337,493,Benjegerdes
GREGG A. IVERSON,144,215,437,Iverson
JOSHUA REA,108,190,267,Me Anderson
MERRILL ANDERSON,108,190,216,Rea
BILL KAHN,97,164,194,Kahn
JOHN LESLIE HARTWIG,97,185,248,Hartwig
EDMUND BERNARD BRUYERE,70,59,83,Bruyere
RAHN V. WORKCUFF,65,118,162,Stroud
"JAMES ""JIMMY"" L. STROUD",64,98,154,Workcuff
"BOB ""AGAIN"" CARNEY JR",56,98,172,Carney
CYD GORMAN,39,96,136,Gorman
JOHN CHARLES WILSON,37,66,112,Wilson